Placeholder,CMD,Contract,Date,Metric,Level,Change
1,ag,2610,8/20/2026,Short Position,157611,1100
1,ag,2612,8/20/2026,Short Position,72525,636
1,ag,2702,8/20/2026,Short Position,23168,-1879
1,rb,2609,8/20/2026,Short Position,16674,-3740
1,rb,2610,8/20/2026,Short Position,1315342,-59323
1,rb,2611,8/20/2026,Short Position,341522,2453
1,rb,2701,8/20/2026,Short Position,533919,74419
1,rb,2703,8/20/2026,Short Position,112783,7877
1,hc,2609,8/20/2026,Short Position,10334,-211
1,hc,2610,8/20/2026,Short Position,819034,-25437
1,hc,2611,8/20/2026,Short Position,346741,-2293
1,hc,2701,8/20/2026,Short Position,364989,47312
1,ss,2609,8/20/2026,Short Position,12973,-1081
1,ss,2610,8/20/2026,Short Position,80240,-4023
1,lu,2609,8/20/2026,Short Position,2942,-345
1,lu,2610,8/20/2026,Short Position,65966,-1056
1,lu,2611,8/20/2026,Short Position,44804,-931
1,fu,2609,8/20/2026,Short Position,40496,-12809
1,fu,2610,8/20/2026,Short Position,41755,561
1,fu,2611,8/20/2026,Short Position,190085,-10238
1,fu,2701,8/20/2026,Short Position,66747,1864
1,bu,2609,8/20/2026,Short Position,51747,-6588
1,bu,2610,8/20/2026,Short Position,224920,2780
1,bu,2611,8/20/2026,Short Position,91029,-172
1,bu,2612,8/20/2026,Short Position,75883,2443
1,br,2609,8/20/2026,Short Position,11150,-1922
1,br,2610,8/20/2026,Short Position,87861,4189
1,ru,2609,8/20/2026,Short Position,19390,-1550
1,ru,2701,8/20/2026,Short Position,99211,4165
1,ru,2705,8/20/2026,Short Position,10750,1109
1,nr,2609,8/20/2026,Short Position,3875,-266
1,nr,2610,8/20/2026,Short Position,46923,3180
1,nr,2611,8/20/2026,Short Position,31519,3680
1,nr,2612,8/20/2026,Short Position,22547,1313
1,nr,2701,8/20/2026,Short Position,19740,549
1,sp,2609,8/20/2026,Short Position,45411,-2610
1,sp,2611,8/20/2026,Short Position,197009,-3168
1,sp,2701,8/20/2026,Short Position,82761,1358
1,op,2609,8/20/2026,Short Position,4864,-133
1,op,2610,8/20/2026,Short Position,19058,114
1,cu,2609,8/19/2026,Volume,133006,-7200
1,cu,2610,8/19/2026,Volume,108230,4543
1,cu,2611,8/19/2026,Volume,29128,-1893
1,cu,2612,8/19/2026,Volume,14537,-3537
1,cu,2701,8/19/2026,Volume,6553,-812
1,cu,2703,8/19/2026,Volume,3775,2809
1,bc,2609,8/19/2026,Volume,19646,1576
1,al,2609,8/19/2026,Volume,191384,32803
1,al,2610,8/19/2026,Volume,273590,84202
1,al,2611,8/19/2026,Volume,60184,20153
1,al,2612,8/19/2026,Volume,24974,8539
1,al,2701,8/19/2026,Volume,15428,4618
1,zn,2609,8/19/2026,Volume,124059,-4495
1,zn,2610,8/19/2026,Volume,272416,48432
1,zn,2611,8/19/2026,Volume,49338,15229
1,pb,2609,8/19/2026,Volume,45432,-287
1,pb,2610,8/19/2026,Volume,107024,30563
1,ni,2609,8/19/2026,Volume,213722,32773
1,ni,2610,8/19/2026,Volume,101232,27451
1,ni,2611,8/19/2026,Volume,30086,6249
1,ni,2612,8/19/2026,Volume,8559,1702
1,sn,2609,8/19/2026,Volume,210474,-5235
1,sn,2610,8/19/2026,Volume,92515,8574
1,sn,2611,8/19/2026,Volume,23497,3992
1,ao,2609,8/19/2026,Volume,29204,-31461
1,ao,2610,8/19/2026,Volume,183963,-127294
1,ao,2611,8/19/2026,Volume,12468,-7649
1,ao,2701,8/19/2026,Volume,18555,-14450
1,ad,2609,8/19/2026,Volume,2917,1242
1,ad,2610,8/19/2026,Volume,17511,119
1,au,2610,8/19/2026,Volume,429296,71035
1,au,2612,8/19/2026,Volume,77956,17007
1,au,2702,8/19/2026,Volume,23665,5516
1,ag,2610,8/19/2026,Volume,928214,38376
1,ag,2612,8/19/2026,Volume,165414,23024
1,ag,2702,8/19/2026,Volume,245058,27100
1,rb,2609,8/19/2026,Volume,14821,5876
1,rb,2610,8/19/2026,Volume,1188946,102252
1,rb,2611,8/19/2026,Volume,57729,-12119
1,rb,2701,8/19/2026,Volume,414799,140527
1,rb,2703,8/19/2026,Volume,20232,-1790
1,hc,2609,8/19/2026,Volume,6321,1889
1,hc,2610,8/19/2026,Volume,512337,36198
1,hc,2611,8/19/2026,Volume,63860,11631
1,hc,2701,8/19/2026,Volume,217081,48963
1,ss,2609,8/19/2026,Volume,12762,-5025
1,ss,2610,8/19/2026,Volume,218329,1640
